title,artist_name,writer,gender,year,writer_is_artist,artist_gender,title_artist_name,Songwriter is Artist
Mack The Knife,Bobby Darin,Marc Blitzstein,m,1959,,m,Mack The Knife by Bobby Darin,
Charlie Brown,The Coasters,"Michael \Mike\"" Stoller""",m,1959,,m,Charlie Brown by The Coasters,
Kansas City,Wilbert Harrison,"Michael \Mike\"" Stoller""",m,1959,,m,Kansas City by Wilbert Harrison,
A Teenager In Love,Dion & The Belmonts,Mort Schuman,m,1959,,m,A Teenager In Love by Dion & The Belmonts,
Tiger,Fabian,Ollie Jones,m,1959,,m,Tiger by Fabian,
The All American Boy,Bill Parsons,Orville Lunsford,m,1959,,m,The All American Boy by Bill Parsons,
Gotta Travel On,Billy Grammer,Paul Clayton,m,1959,,m,Gotta Travel On by Billy Grammer,
Why,Frankie Avalon,Peter DeAngelis,m,1959,,m,Why by Frankie Avalon,
Gotta Travel On,Billy Grammer,Peter Seeger,m,1959,,m,Gotta Travel On by Billy Grammer,
Sea Of Love,Phil Phillips With The Twilights,Phil Battiste,m,1959,,m,Sea Of Love by Phil Phillips With The Twilights,
Sleep Walk,Santo & Johnny,Santo Farina,m,1959,,m,Sleep Walk by Santo & Johnny,
I Need Your Love Tonight,Elvis Presley With The Jordanaires,Sid Wayne,m,1959,,m,I Need Your Love Tonight by Elvis Presley With The Jordanaires,
A Big Hunk O' Love,Elvis Presley With The Jordanaires,Sid Wyche,m,1959,,m,A Big Hunk O' Love by Elvis Presley With The Jordanaires,
Petite Fleur (Little Flower),Chris Barber's Jazz Band,Sidney Bechet,m,1959,,m,Petite Fleur (Little Flower) by Chris Barber's Jazz Band,
Red River Rock,Johnny And The Hurricanes,Tom King,m,1959,,m,Red River Rock by Johnny And The Hurricanes,
Way Down Yonder In New Orleans,Freddie Cannon,Turner Layton,m,1959,,m,Way Down Yonder In New Orleans by Freddie Cannon,
Lonely Street,Andy Williams,W.S.Stevenson,m,1959,,m,Lonely Street by Andy Williams,
Last Date,Floyd Cramer,Floyd Cramer,m,1960,,m,Last Date by Floyd Cramer,1
What In The World's Come Over You,Jack Scott,Jack Scott,m,1960,,m,What In The World's Come Over You by Jack Scott,1
Handy Man,Jimmy Jones,Jimmy Jones,m,1960,,m,Handy Man by Jimmy Jones,1
You Talk Too Much,Joe Jones,Joe Jones,m,1960,,m,You Talk Too Much by Joe Jones,1
Sink The Bismark,Johnny Horton,Johnny Horton,m,1960,,m,Sink The Bismark by Johnny Horton,1
Stay,Maurice Williams & The Zodiacs,Maurice Williams,m,1960,,m,Stay by Maurice Williams & The Zodiacs,1
Puppy Love,Paul Anka,Paul Anka,m,1960,,m,Puppy Love by Paul Anka,1
Only The Lonely (Know How I Feel),Roy Orbison,Roy Orbison,m,1960,,m,Only The Lonely (Know How I Feel) by Roy Orbison,1
Chain Gang,Sam Cooke,Sam Cooke,m,1960,,m,Chain Gang by Sam Cooke,1
Because They're Young,Duane Eddy And The Rebels,Aaron Schroeder,m,1960,,m,Because They're Young by Duane Eddy And The Rebels,
It's Now Or Never,Elvis Presley With The Jordanaires,Aaron Schroeder,m,1960,,m,It's Now Or Never by Elvis Presley With The Jordanaires,
Stuck On You,Elvis Presley With The Jordanaires,Aaron Schroeder,m,1960,,m,Stuck On You by Elvis Presley With The Jordanaires,
Mr. Custer,Larry Verne,Al DeLory,m,1960,,m,Mr. Custer by Larry Verne,
Swingin' School,Bobby Rydell,Bernie Lowe,m,1960,,m,Swingin' School by Bobby Rydell,
Wild One,Bobby Rydell,Bernie Lowe,m,1960,,m,Wild One by Bobby Rydell,
Good Timin',Jimmy Jones,Clint Ballard,m,1960,,m,Good Timin' by Jimmy Jones,
Alley-Oop,Hollywood Argyles,Dallas Frazier,m,1960,,m,Alley-Oop by Hollywood Argyles,
Swingin' School,Bobby Rydell,Dave Appell,m,1960,,m,Swingin' School by Bobby Rydell,
Wild One,Bobby Rydell,Dave Appell,m,1960,,m,Wild One by Bobby Rydell,
"Go, Jimmy, Go",Jimmy Clanton,Doc Pomus,m,1960,,m,"Go, Jimmy, Go by Jimmy Clanton",
Save The Last Dance For Me,The Drifters,Doc Pomus,m,1960,,m,Save The Last Dance For Me by The Drifters,
Volare,Bobby Rydell,Domenico Modugno,m,1960,,m,Volare by Bobby Rydell,
Because They're Young,Duane Eddy And The Rebels,Don Costa,m,1960,,m,Because They're Young by Duane Eddy And The Rebels,
Cathy's Clown,The Everly Brothers,Don Everly,m,1960,,m,Cathy's Clown by The Everly Brothers,
Exodus,Ferrante & Teicher,Ernest Gold,m,1960,,m,Exodus by Ferrante & Teicher,
Greenfields,The Brothers Four,Frank Miller,m,1960,,m,Greenfields by The Brothers Four,
Mr. Custer,Larry Verne,Fred Darian,m,1960,,m,Mr. Custer by Larry Verne,
Good Timin',Jimmy Jones,Fred Tobias,m,1960,,m,Good Timin' by Jimmy Jones,
Mule Skinner Blues,The Fendermen,George Vaughn,m,1960,,m,Mule Skinner Blues by The Fendermen,
The Twist,Chubby Checker,Hank Ballard,m,1960,,m,The Twist by Chubby Checker,
Night,Jackie Wilson,Herb Miller,m,1960,,m,Night by Jackie Wilson,
Georgia On My Mind,Ray Charles,Hoagy Carmichael,m,1960,,m,Georgia On My Mind by Ray Charles,
Stuck On You,Elvis Presley With The Jordanaires,J. Leslie McFarland,m,1960,,m,Stuck On You by Elvis Presley With The Jordanaires,
Running Bear,Johnny Preston,J.P. Richardson,m,1960,,m,Running Bear by Johnny Preston,
Mule Skinner Blues,The Fendermen,Jimmie Rodgers,m,1960,,m,Mule Skinner Blues by The Fendermen,
He'll Have To Go,Jim Reeves,Joe Allison,m,1960,,m,He'll Have To Go by Jim Reeves,
Walk -- Don't Run,The Ventures,John Smith,m,1960,,m,Walk -- Don't Run by The Ventures,
Night,Jackie Wilson,Johnny Lehman,m,1960,,m,Night by Jackie Wilson,
Mr. Custer,Larry Verne,Joseph Van Winkle,m,1960,,m,Mr. Custer by Larry Verne,
Swingin' School,Bobby Rydell,Kal Mann,m,1960,,m,Swingin' School by Bobby Rydell,
Wild One,Bobby Rydell,Kal Mann,m,1960,,m,Wild One by Bobby Rydell,
Wonderland By Night,Bert Kaempfert And His Orchestra,Klaus-Gunter Neumann,m,1960,,m,Wonderland By Night by Bert Kaempfert And His Orchestra,
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,Lee Pockriss,m,1960,,m,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini by Brian Hyland,
Wonderland By Night,Bert Kaempfert And His Orchestra,Lincoln Chase,m,1960,,m,Wonderland By Night by Bert Kaempfert And His Orchestra,
Where Or When,Dion & The Belmonts,Lorenz Hart,m,1960,,m,Where Or When by Dion & The Belmonts,
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,Lou Handman,m,1960,,m,Are You Lonesome To-night? by Elvis Presley With The Jordanaires,
"The Theme From \A Summer Place\""""",Percy Faith And His Orchestra,Max Steiner,m,1960,,m,"The Theme From \A Summer Place\"""" by Percy Faith And His Orchestra",
Burning Bridges,Jack Scott,Melvin Miller,m,1960,,m,Burning Bridges by Jack Scott,
Poetry In Motion,Johnny Tillotson,Mike Anthony,m,1960,,m,Poetry In Motion by Johnny Tillotson,
North To Alaska,Johnny Horton,Mike Phillips,m,1960,,m,North To Alaska by Johnny Horton,
Volare,Bobby Rydell,Mitchell Parish,m,1960,,m,Volare by Bobby Rydell,
"Go, Jimmy, Go",Jimmy Clanton,Mort Schuman,m,1960,,m,"Go, Jimmy, Go by Jimmy Clanton",
Save The Last Dance For Me,The Drifters,Mort Schuman,m,1960,,m,Save The Last Dance For Me by The Drifters,
Handy Man,Jimmy Jones,Otis Blackwell,m,1960,,m,Handy Man by Jimmy Jones,
Poetry In Motion,Johnny Tillotson,Paul Kaufmann,m,1960,,m,Poetry In Motion by Johnny Tillotson,
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,Paul Vance,m,1960,,m,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini by Brian Hyland,
Cathy's Clown,The Everly Brothers,Phil Everly,m,1960,,m,Cathy's Clown by The Everly Brothers,
A Million To One,Jimmy Charles and The Revelletts,Phil Medley,m,1960,,m,A Million To One by Jimmy Charles and The Revelletts,
Teen Angel,Mark Dinning,Red Surrey,m,1960,,m,Teen Angel by Mark Dinning,
You Talk Too Much,Joe Jones,Reggie Hall,m,1960,,m,You Talk Too Much by Joe Jones,
Greenfields,The Brothers Four,Richard Dehr,m,1960,,m,Greenfields by The Brothers Four,
Where Or When,Dion & The Belmonts,Richard Rodgers,m,1960,,m,Where Or When by Dion & The Belmonts,
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,Roy Turk,m,1960,,m,Are You Lonesome To-night? by Elvis Presley With The Jordanaires,
Georgia On My Mind,Ray Charles,Stuart Gorrell,m,1960,,m,Georgia On My Mind by Ray Charles,
Greenfields,The Brothers Four,Terry Gilkyson,m,1960,,m,Greenfields by The Brothers Four,
Sink The Bismark,Johnny Horton,Tillman Franks,m,1960,,m,Sink The Bismark by Johnny Horton,
Because They're Young,Duane Eddy And The Rebels,Wally Gold,m,1960,,m,Because They're Young by Duane Eddy And The Rebels,
It's Now Or Never,Elvis Presley With The Jordanaires,Wally Gold,m,1960,,m,It's Now Or Never by Elvis Presley With The Jordanaires,
The Boll Weevil Song,Brook Benton,Brook Benton,m,1961,,m,The Boll Weevil Song by Brook Benton,1
"I Like It Like That, Part 1",Chris Kenner,Chris Kenner,m,1961,,m,"I Like It Like That, Part 1 by Chris Kenner",1
Raindrops,Dee Clark,Dee Clark,m,1961,,m,Raindrops by Dee Clark,1
Runaway,Del Shannon,Del Shannon,m,1961,,m,Runaway by Del Shannon,1
On The Rebound,Floyd Cramer,Floyd Cramer,m,1961,,m,On The Rebound by Floyd Cramer,1
Big Bad John,Jimmy Dean,Jimmy Dean,m,1961,,m,Big Bad John by Jimmy Dean,1
Don't Worry,Marty Robbins,Marty Robbins,m,1961,,m,Don't Worry by Marty Robbins,1
Calendar Girl,Neil Sedaka,Neil Sedaka,m,1961,,m,Calendar Girl by Neil Sedaka,1
Crying,Roy Orbison,Roy Orbison,m,1961,,m,Crying by Roy Orbison,1
Running Scared,Roy Orbison,Roy Orbison,m,1961,,m,Running Scared by Roy Orbison,1
Yellow Bird,Arthur Lyman Group,Alan Bergman,m,1961,,m,Yellow Bird by Arthur Lyman Group,
"I Like It Like That, Part 1",Chris Kenner,Allan Toussaint,m,1961,,m,"I Like It Like That, Part 1 by Chris Kenner",
Mother-In-Law,Ernie K-Doe,Allen Toussaint,m,1961,,m,Mother-In-Law by Ernie K-Doe,
Stand By Me,Ben E. King,B.E.King,m,1961,,m,Stand By Me by Ben E. King,
Wooden Heart,Joe Dowell,Ben Weisman,m,1961,,m,Wooden Heart by Joe Dowell,
Shop Around,"The Miracles (featuring Bill \Smokey\"" Robinson)""",Berry Gordy Jr.,m,1961,,m,"Shop Around by The Miracles (featuring Bill \Smokey\"" Robinson)""",
Wooden Heart,Joe Dowell,Bert Kaempfert,m,1961,,m,Wooden Heart by Joe Dowell,
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group,Billy Rose,m,1961,,m,Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night) by Lonnie Donegan And His Skiffle Group,
Tower Of Strength,Gene McDaniels,Bob Hilliard,m,1961,,m,Tower Of Strength by Gene McDaniels,
Tower Of Strength,Gene McDaniels,Burt Bacharach,m,1961,,m,Tower Of Strength by Gene McDaniels,
Last Night,Mar-Keys,Charles Axton,m,1961,,m,Last Night by Mar-Keys,
Last Night,Mar-Keys,Chips Moman,m,1961,,m,Last Night by Mar-Keys,
I Feel So Bad,Elvis Presley,Chuck Willis,m,1961,,m,I Feel So Bad by Elvis Presley,
The Boll Weevil Song,Brook Benton,Clyde Otis,m,1961,,m,The Boll Weevil Song by Brook Benton,
Bristol Stomp,The Dovells,Dave Appel,m,1961,,m,Bristol Stomp by The Dovells,
Hats Off To Larry,Del Shannon,Del Shannon (Charles Westover),m,1961,,m,Hats Off To Larry by Del Shannon,
Runaround Sue,Dion,Dion DiMucci,m,1961,,m,Runaround Sue by Dion,
Little Sister,Elvis Presley,Doc Pomus,m,1961,,m,Little Sister by Elvis Presley,
Surrender,Elvis Presley With The Jordanaires,Doc Pomus,m,1961,,m,Surrender by Elvis Presley With The Jordanaires,
Pony Time,Chubby Checker,Don Covay,m,1961,,m,Pony Time by Chubby Checker,
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group,Ernest Brewer,m,1961,,m,Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night) by Lonnie Donegan And His Skiffle Group,
Runaround Sue,Dion,Ernie Maresca,m,1961,,m,Runaround Sue by Dion,
My True Story,The Jive Five With Joe Rene And Orchestra,Eugene Pitt,m,1961,,m,My True Story by The Jive Five With Joe Rene And Orchestra,
Last Night,Mar-Keys,Floyd Newman,m,1961,,m,Last Night by Mar-Keys,
Quarter To Three,U.S. Bonds,Frank J. Guida,m,1961,,m,Quarter To Three by U.S. Bonds,
Wooden Heart,Joe Dowell,Fred Wise,m,1961,,m,Wooden Heart by Joe Dowell,
School Is Out,Gary U.S. Bonds,Gary Anderson,m,1961,,m,School Is Out by Gary U.S. Bonds,
Moody River,Pat Boone,Gary D. Bruce,m,1961,,m,Moody River by Pat Boone,
Quarter To Three,U.S. Bonds,Gary U.S. Bonds,m,1961,,m,Quarter To Three by U.S. Bonds,
Quarter To Three,U.S. Bonds,Gene Barge,m,1961,,m,Quarter To Three by U.S. Bonds,
School Is Out,Gary U.S. Bonds,Gene Barge,m,1961,,m,School Is Out by Gary U.S. Bonds,
The Lion Sleeps Tonight,The Tokens,George David Weiss,m,1961,,m,The Lion Sleeps Tonight by The Tokens,
The Writing On The Wall,Adam Wade,George Paxton,m,1961,,m,The Writing On The Wall by Adam Wade,
Run To Him,Bobby Vee,Gerry Goffin,m,1961,,m,Run To Him by Bobby Vee,
Take Good Care Of My Baby,Bobby Vee,Gerry Goffin,m,1961,,m,Take Good Care Of My Baby by Bobby Vee,
Last Night,Mar-Keys,Gil Caple,m,1961,,m,Last Night by Mar-Keys,
Calcutta,Lawrence Welk And His Orchestra,Hans Bradtke,m,1961,,m,Calcutta by Lawrence Welk And His Orchestra,
You Must Have Been A Beautiful Baby,Bobby Darin,Harry Warren,m,1961,,m,You Must Have Been A Beautiful Baby by Bobby Darin,
Calcutta,Lawrence Welk And His Orchestra,Hermann Gaze,m,1961,,m,Calcutta by Lawrence Welk And His Orchestra,
Calendar Girl,Neil Sedaka,Howard Greenfield,m,1961,,m,Calendar Girl by Neil Sedaka,
The Lion Sleeps Tonight,The Tokens,Hugo Peretti,m,1961,,m,The Lion Sleeps Tonight by The Tokens,
Run To Him,Bobby Vee,Jack Keller,m,1961,,m,Run To Him by Bobby Vee,
Daddy's Home,Shep And The Limelites,James Sheppard,m,1961,,m,Daddy's Home by Shep And The Limelites,
Travelin' Man,Ricky Nelson,Jerry Fuller,m,1961,,m,Travelin' Man by Ricky Nelson,
Last Night,Mar-Keys,Jerry Lee Smith,m,1961,,m,Last Night by Mar-Keys,
(Marie's The Name) His Latest Flame,Elvis Presley,Jerry Leiber,m,1961,,m,(Marie's The Name) His Latest Flame by Elvis Presley,
Stand By Me,Ben E. King,Jerry Leiber,m,1961,,m,Stand By Me by Ben E. King,
Apache,Jorgen Ingmann & His Guitar,Jerry Lorden,m,1961,,m,Apache by Jorgen Ingmann & His Guitar,
Wheels,The String-A-Longs,Jimmy Torres,m,1961,,m,Wheels by The String-A-Longs,
Crying,Roy Orbison,Joe Melson,m,1961,,m,Crying by Roy Orbison,
Running Scared,Roy Orbison,Joe Melson,m,1961,,m,Running Scared by Roy Orbison,
Tossin' And Turnin',Bobby Lewis,Joe Rene,m,1961,,m,Tossin' And Turnin' by Bobby Lewis,
Pony Time,Chubby Checker,John Berry,m,1961,,m,Pony Time by Chubby Checker,
You Must Have Been A Beautiful Baby,Bobby Darin,Johnny Mercer,m,1961,,m,You Must Have Been A Beautiful Baby by Bobby Darin,
Quarter To Three,U.S. Bonds,Joseph F. Royster,m,1961,,m,Quarter To Three by U.S. Bonds,
Bristol Stomp,The Dovells,Kal Mann,m,1961,,m,Bristol Stomp by The Dovells,
A Hundred Pounds Of Clay,Gene McDaniels,Kay Rogers,m,1961,,m,A Hundred Pounds Of Clay by Gene McDaniels,
Walk On By,Leroy Van Dyke,Kendall L. Hayes,m,1961,,m,Walk On By by Leroy Van Dyke,
Calcutta,Lawrence Welk And His Orchestra,Lee Pockriss,m,1961,,m,Calcutta by Lawrence Welk And His Orchestra,
Blue Moon,The Marcels,Lorenz Hart,m,1961,,m,Blue Moon by The Marcels,
The Lion Sleeps Tonight,The Tokens,Luigi Creatore,m,1961,,m,The Lion Sleeps Tonight by The Tokens,
A Hundred Pounds Of Clay,Gene McDaniels,Luther Dixon,m,1961,,m,A Hundred Pounds Of Clay by Gene McDaniels,
The Writing On The Wall,Adam Wade,Mark Barkan,m,1961,,m,The Writing On The Wall by Adam Wade,
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group,Marty Bloom,m,1961,,m,Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night) by Lonnie Donegan And His Skiffle Group,
Runaway,Del Shannon,Max Crook,m,1961,,m,Runaway by Del Shannon,
Stand By Me,Ben E. King,"Michael \Mike\"" Stoller""",m,1961,,m,Stand By Me by Ben E. King,
(Marie's The Name) His Latest Flame,Elvis Presley,Mike Stoller,m,1961,,m,(Marie's The Name) His Latest Flame by Elvis Presley,
Little Sister,Elvis Presley,Mort Shuman,m,1961,,m,Little Sister by Elvis Presley,
Surrender,Elvis Presley With The Jordanaires,Mort Shuman,m,1961,,m,Surrender by Elvis Presley With The Jordanaires,
Yellow Bird,Arthur Lyman Group,Norman Luboff,m,1961,,m,Yellow Bird by Arthur Lyman Group,
My True Story,The Jive Five With Joe Rene And Orchestra,Oscar Waltzer,m,1961,,m,My True Story by The Jive Five With Joe Rene And Orchestra,
But I Do,Clarence Henry,Paul Gayton,m,1961,,m,But I Do by Clarence Henry,
You Don't Know What You've Got (Until You Lose It),Ral Donner,Paul Hampton,m,1961,,m,You Don't Know What You've Got (Until You Lose It) by Ral Donner,
Calcutta,Lawrence Welk And His Orchestra,Paul Vance,m,1961,,m,Calcutta by Lawrence Welk And His Orchestra,
Hit The Road Jack,Ray Charles and his Orchestra,Percy Mayfield,m,1961,,m,Hit The Road Jack by Ray Charles and his Orchestra,
Blue Moon,The Marcels,Richard Rodgers,m,1961,,m,Blue Moon by The Marcels,
Wheels,The String-A-Longs,Richard Stephens,m,1961,,m,Wheels by The String-A-Longs,
Tossin' And Turnin',Bobby Lewis,Ritchie Adams,m,1961,,m,Tossin' And Turnin' by Bobby Lewis,
But I Do,Clarence Henry,Robert Guidry,m,1961,,m,But I Do by Clarence Henry,
The Writing On The Wall,Adam Wade,Sandy Baron,m,1961,,m,The Writing On The Wall by Adam Wade,
The Lion Sleeps Tonight,The Tokens,Solomon Linda,m,1961,,m,The Lion Sleeps Tonight by The Tokens,
Shop Around,"The Miracles (featuring Bill \Smokey\"" Robinson)""","William ""Smokey"" Robinson",m,1961,,m,"Shop Around by The Miracles (featuring Bill \Smokey\"" Robinson)""",
Daddy's Home,Shep And The Limelites,William H. Miller,m,1961,,m,Daddy's Home by Shep And The Limelites,
Stranger On The Shore,Mr. Acker Bilk,Acker Bilk,m,1962,,m,Stranger On The Shore by Mr. Acker Bilk,1
Things,Bobby Darin,Bobby Darin,m,1962,,m,Things by Bobby Darin,1
Hey! Baby,Bruce Channel,Bruce Channel,m,1962,,m,Hey! Baby by Bruce Channel,1
The Stripper,David Rose and His Orchestra,David Rose,m,1962,,m,The Stripper by David Rose and His Orchestra,1
Duke Of Earl,Gene Chandler,Gene Chandler,m,1962,,m,Duke Of Earl by Gene Chandler,1
Peppermint Twist - Part I,Joey Dee & the Starliters,Joey Dee,m,1962,,m,Peppermint Twist - Part I by Joey Dee & the Starliters,1
It Keeps Right On A-Hurtin',Johnny Tillotson,Johnny Tillotson,m,1962,,m,It Keeps Right On A-Hurtin' by Johnny Tillotson,1
Breaking Up Is Hard To Do,Neil Sedaka,Neil Sedaka,m,1962,,m,Breaking Up Is Hard To Do by Neil Sedaka,1
Next Door To An Angel,Neil Sedaka,Neil Sedaka,m,1962,,m,Next Door To An Angel by Neil Sedaka,1
Sheila,Tommy Roe,Tommy Roe,m,1962,,m,Sheila by Tommy Roe,1
Good Luck Charm,Elvis Presley With The Jordanaires,Aaron Schroeder,m,1962,,m,Good Luck Charm by Elvis Presley With The Jordanaires,
Roses Are Red (My Love),Bobby Vinton,Al Byron,m,1962,,m,Roses Are Red (My Love) by Bobby Vinton,
Green Onions,Booker T. & The MG's,Al Jackson Jr.,m,1962,,m,Green Onions by Booker T. & The MG's,
Do You Love Me,The Contours,B.Gordy,m,1962,,m,Do You Love Me by The Contours,
Big Girls Don't Cry,The 4 Seasons,Bob Crewe,m,1962,,m,Big Girls Don't Cry by The 4 Seasons,
Big Girls Don't Cry,The 4 Seasons,Bob Gaudio,m,1962,,m,Big Girls Don't Cry by The 4 Seasons,
Sherry,The 4 Seasons,Bob Gaudio,m,1962,,m,Sherry by The 4 Seasons,
Monster Mash,"Bobby \Boris\"" Pickett And The Crypt-Kickers""",Bobby Pickett,m,1962,,m,"Monster Mash by Bobby \Boris\"" Pickett And The Crypt-Kickers""",
Green Onions,Booker T. & The MG's,Booker T. Jones,m,1962,,m,Green Onions by Booker T. & The MG's,
(The Man Who Shot) Liberty Valance,Gene Pitney,Burt Bacharach,m,1962,,m,(The Man Who Shot) Liberty Valance by Gene Pitney,
Only Love Can Break A Heart,Gene Pitney,Burt Bacharach,m,1962,,m,Only Love Can Break A Heart by Gene Pitney,
Palisades Park,Freddy Cannon,Chuck Barris,m,1962,,m,Palisades Park by Freddy Cannon,
Old Rivers,Walter Brennan,Cliff Crofford,m,1962,,m,Old Rivers by Walter Brennan,
Lovers Who Wander,Dion,Dion DiMucci,m,1962,,m,Lovers Who Wander by Dion,
She's Not You,Elvis Presley With The Jordanaires,Doc Pomus,m,1962,,m,She's Not You by Elvis Presley With The Jordanaires,
I Can't Stop Loving You,Ray Charles,Don Gibson,m,1962,,m,I Can't Stop Loving You by Ray Charles,
Duke Of Earl,Gene Chandler,Earl Edwards,m,1962,,m,Duke Of Earl by Gene Chandler,
You Don't Know Me,Ray Charles,Eddy Arnold,m,1962,,m,You Don't Know Me by Ray Charles,
Lovers Who Wander,Dion,Ernie Maresca,m,1962,,m,Lovers Who Wander by Dion,
The Wanderer,Dion,Ernie Maresca,m,1962,,m,The Wanderer by Dion,
Sealed With A Kiss,Brian Hyland,Gary Geld,m,1962,,m,Sealed With A Kiss by Brian Hyland,
Can't Help Falling In Love,Elvis Presley With The Jordanaires,George David Weiss,m,1962,,m,Can't Help Falling In Love by Elvis Presley With The Jordanaires,
Go Away Little Girl,Steve Lawrence,Gerry Goffin,m,1962,,m,Go Away Little Girl by Steve Lawrence,
She Cried,Jay & The Americans,Greg Richards,m,1962,,m,She Cried by Jay & The Americans,
(The Man Who Shot) Liberty Valance,Gene Pitney,Hal David,m,1962,,m,(The Man Who Shot) Liberty Valance by Gene Pitney,
Only Love Can Break A Heart,Gene Pitney,Hal David,m,1962,,m,Only Love Can Break A Heart by Gene Pitney,
Peppermint Twist - Part I,Joey Dee & the Starliters,Henry Glover,m,1962,,m,Peppermint Twist - Part I by Joey Dee & the Starliters,
Breaking Up Is Hard To Do,Neil Sedaka,Howard Greenfield,m,1962,,m,Breaking Up Is Hard To Do by Neil Sedaka,
Next Door To An Angel,Neil Sedaka,Howard Greenfield,m,1962,,m,Next Door To An Angel by Neil Sedaka,
Can't Help Falling In Love,Elvis Presley With The Jordanaires,Hugo Peretti,m,1962,,m,Can't Help Falling In Love by Elvis Presley With The Jordanaires,
Teen Age Idol,Rick Nelson,Jack Lewis,m,1962,,m,Teen Age Idol by Rick Nelson,
Young World,Rick Nelson,Jerry Fuller,m,1962,,m,Young World by Rick Nelson,
She's Not You,Elvis Presley With The Jordanaires,Jerry Leiber,m,1962,,m,She's Not You by Elvis Presley With The Jordanaires,
Let's Dance,Chris Montez,Jim Lee,m,1962,,m,Let's Dance by Chris Montez,
Telstar,The Tornadoes,Joe Meek,m,1962,,m,Telstar by The Tornadoes,
Ramblin' Rose,Nat King Cole,Joe Sherman,m,1962,,m,Ramblin' Rose by Nat King Cole,
I Remember You,Frank Ifield,Johnny Mercer,m,1962,,m,I Remember You by Frank Ifield,
Limbo Rock,Chubby Checker,Jon Sheldon,m,1962,,m,Limbo Rock by Chubby Checker,
Midnight In Moscow,Kenny Ball and his Jazzmen,Kenneth Ball (based on a song by Vassili Soloviev-Sedoi & M. Matusovosky),m,1962,,m,Midnight In Moscow by Kenny Ball and his Jazzmen,
Monster Mash,"Bobby \Boris\"" Pickett And The Crypt-Kickers""",Leonard L. Capizzi,m,1962,,m,"Monster Mash by Bobby \Boris\"" Pickett And The Crypt-Kickers""",
Green Onions,Booker T. & The MG's,Lewis Steinberg,m,1962,,m,Green Onions by Booker T. & The MG's,
Can't Help Falling In Love,Elvis Presley With The Jordanaires,Luigi Creatore,m,1962,,m,Can't Help Falling In Love by Elvis Presley With The Jordanaires,
Hey! Baby,Bruce Channel,Margaret Cobb,m,1962,,m,Hey! Baby by Bruce Channel,
She's Not You,Elvis Presley With The Jordanaires,Mike Stoller,m,1962,,m,She's Not You by Elvis Presley With The Jordanaires,
Ramblin' Rose,Nat King Cole,Noel Sherman,m,1962,,m,Ramblin' Rose by Nat King Cole,
Return To Sender,Elvis Presley With The Jordanaires,Otis Blackwell,m,1962,,m,Return To Sender by Elvis Presley With The Jordanaires,
Roses Are Red (My Love),Bobby Vinton,Paul Evans,m,1962,,m,Roses Are Red (My Love) by Bobby Vinton,
Sealed With A Kiss,Brian Hyland,Peter Udell,m,1962,,m,Sealed With A Kiss by Brian Hyland,
"Ahab, The Arab",Ray Stevens,Ray Stevens (aka Harold Ragsdale),m,1962,,m,"Ahab, The Arab by Ray Stevens",
Stranger On The Shore,Mr. Acker Bilk,Robert Mellin,m,1962,,m,Stranger On The Shore by Mr. Acker Bilk,
Green Onions,Booker T. & The MG's,Steve Cropper,m,1962,,m,Green Onions by Booker T. & The MG's,
She Cried,Jay & The Americans,Ted Daryll,m,1962,,m,She Cried by Jay & The Americans,
I Remember You,Frank Ifield,Victor Schertzinger,m,1962,,m,I Remember You by Frank Ifield,
Good Luck Charm,Elvis Presley With The Jordanaires,Wally Gold,m,1962,,m,Good Luck Charm by Elvis Presley With The Jordanaires,
Limbo Rock,Chubby Checker,William E. Strange,m,1962,,m,Limbo Rock by Chubby Checker,
Return To Sender,Elvis Presley With The Jordanaires,Winfield Scott,m,1962,,m,Return To Sender by Elvis Presley With The Jordanaires,
You're The Reason I'm Living,Bobby Darin,Bobby Darin,m,1963,,m,You're The Reason I'm Living by Bobby Darin,1
Baby Workout,Jackie Wilson,Jackie Wilson,m,1963,,m,Baby Workout by Jackie Wilson,1
"Tie Me Kangaroo Down, Sport",Rolf Harris,Rolf Harris,m,1963,,m,"Tie Me Kangaroo Down, Sport by Rolf Harris",1
Everybody,Tommy Roe,Tommy Roe,m,1963,,m,Everybody by Tommy Roe,1
"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman,Alan Sherman,m,1963,,m,"Hello Mudduh, Hello Fadduh! (A Letter From Camp) by Allan Sherman",
Baby Workout,Jackie Wilson,Alonzo Tucker,m,1963,,m,Baby Workout by Jackie Wilson,
